date,price
2013-01-31,1670.5290322580645
2013-02-28,1593.314285714286
2013-03-31,1491.7322580645161
2013-04-30,1394.3833333333334
2013-05-31,1277.8096774193548
2013-06-30,1361.8466666666668
2013-07-31,1317.2709677419355
2013-08-31,1274.7548387096774
2013-09-30,1230.13
2013-10-31,1296.9387096774194
2013-11-30,1320.8833333333334
2013-12-31,1286.858064516129
2014-01-31,1297.6999999999998
2014-02-28,1300.8214285714287
2014-03-31,1241.116129032258
2014-04-30,1204.1466666666668
2014-05-31,1197.8290322580644
2014-06-30,1252.57
2014-07-31,1188.132258064516
2014-08-31,1195.5225806451613
2014-09-30,1192.6433333333334
2014-10-31,1133.4161290322581
2014-11-30,1120.9066666666665
2014-12-31,1151.0806451612902
2015-01-31,1081.2064516129033
2015-02-28,1079.8357142857142
2015-03-31,1196.2129032258065
2015-04-30,1241.3166666666666
2015-05-31,1256.6129032258063
2015-06-30,1304.1899999999998
2015-07-31,1339.725806451613
2015-08-31,1318.0
2015-09-30,1262.5366666666666
2015-10-31,1164.125806451613
2015-11-30,1210.18
2015-12-31,1236.0580645161292
2016-01-31,1257.5677419354838
2016-02-29,1264.0793103448277
2016-03-31,1244.1935483870968
2016-04-30,1308.1866666666667
2016-05-31,1286.9516129032259
2016-06-30,1277.7266666666667
2016-07-31,1311.1451612903227
2016-08-31,1331.7290322580645
2016-09-30,1337.2133333333334
2016-10-31,1307.8129032258064
2016-11-30,1267.0533333333333
2016-12-31,1210.6387096774195
2017-01-31,1201.335483870968
2017-02-28,1227.060714285714
2017-03-31,1254.5
2017-04-30,1305.2766666666669
2017-05-31,1310.2451612903226
2017-06-30,1289.3300000000002
2017-07-31,1332.0064516129032
2017-08-31,1431.6354838709676
2017-09-30,1519.2
2017-10-31,1502.6451612903227
2017-11-30,1472.48
2017-12-31,1543.0774193548389
2018-01-31,1610.258064516129
2018-02-28,1647.9678571428572
2018-03-31,1724.6999999999998
2018-04-30,1776.43
2018-05-31,1952.2451612903226
2018-06-30,1922.8433333333335
2018-07-31,1892.7064516129033
2018-08-31,1861.9967741935484
2018-09-30,1832.9633333333334
2018-10-31,1732.532258064516
2018-11-30,1789.5266666666669
2018-12-31,1852.467741935484
2019-01-31,1797.0451612903225
2019-02-28,1793.075
2019-03-31,1771.8258064516128
2019-04-30,1808.37
2019-05-31,1814.6677419354837
2019-06-30,1894.3600000000001
2019-07-31,1942.3935483870966
2019-08-31,1855.5290322580645
2019-09-30,1788.8033333333333
2019-10-31,1759.3258064516128
2019-11-30,1687.6699999999998
2019-12-31,1700.648387096774
2020-01-31,1805.5545454545454
